item_name,supplier_name,quantity,price_per_unit,total_amount,amount_before_vat,purchase_date,invoice_no,notes,category,sheet_category,discount_pct,pur_id
ทินเนอร์ 3A ABC 200ลิตร (150 kg.),ไทยนคร,2,6200,12400,,2566-07-10,INV23070398,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,47
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,1,6100,6100,,2566-08-15,INV23080494,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,48
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6200,12400,,2566-09-11,INV23090410,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,49
ทินเนอร์ 3A A-CW 200ลิตร (150 kg.),ไทยนคร,2,6100,12200,,2566-10-18,INV23100640,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,50
ทินเนอร์ 3A 200ลิตร (150 kg.),ทาเลนท์,2,5500,11000,,2566-11-10,IV2223646,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,51
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2566-12-21,IV2225991,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,52
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-02-16,IV2228925,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,53
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-03-20,IV2230797,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,54
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,1,5500,5500,,2567-06-17,IV2235520,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,55
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-05-09,IV2233213,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,56
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-07-16,IV2237182,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,57
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-08-20,IV2239078,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,58
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,1,5500,5500,,2567-09-19,IV2240911,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,59
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-10-22,IV2242741,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,60
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2567-12-03,IV2245144,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,61
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2568-01-21,IV6801256,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,62
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5500,11000,,2568-03-14,IV6804438,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,63
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-05-07,IV6807239,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,64
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-07-02,IV6810575,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,65
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-07-23,IV6811846,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,66
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,1,5140.186,5499.99902,5140.186,2568-08-13,IV6813011,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,67
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-09-10,IV6814666,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,68
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-10-10,IV6816495,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,69
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-11-05,IV6818042,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,70
ทินเนอร์ 3A 200ลิตร (150 kg.) ราคาต่อ1ถัง,ทาเลนท์,2,5140.186,10999.99804,10280.372,2568-11-27,IV6819324,ราคารวม VAT แล้ว,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,71
ทินเนอร์ อคิลิค EXKO -- ใช้แล้วมีปัญหา,เอ็มแอนด์บี ,1,7500,8025,,2561-05-29,,,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,72
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7600,7600,,2561-07-05,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,73
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2562-04-22,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,74
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2562-05-16,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,75
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2562-07-01,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,76
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2562-07-26,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,77
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,2,7500,15000,,2562-09-02,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,78
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2563-01-29,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,79
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7500,7500,,2563-03-03,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,80
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2563-04-07,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,81
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2563-05-08,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,82
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2563-06-17,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,83
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,2,7200,14400,,2563-07-23,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,84
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,2,7200,14400,,2563-09-08,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,85
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2563-10-15,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,86
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2563-11-26,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,87
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2564-01-12,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,88
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2564-03-02,,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,89
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2564-06-05,IV6406/0342,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,90
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,1,7200,7200,,2564-07-07,IV6407/0408,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,91
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S  WELCO 150 kg.,ไทยนคร,2,8400,16800,,2564-08-14,IV6408/0573,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,92
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S WINNER -- ถังพลาสติก,ทรัพย์สิน,1,7000,7000,,2564-09-22,IV6409286,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,93
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S WINNER -- ถังพลาสติก,ทรัพย์สิน,1,7000,7000,,2564-11-23,IV6411321,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,94
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (156 kg.) -- ถังเหล็ก,ไทยนคร,1,7500,7500,,2565-02-16,INV22020634,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,95
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (156 kg.) -- ถังเหล็ก,ไทยนคร,1,7500,7500,,2565-03-25,INV22031033,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,96
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8650,8650,,2565-05-03,INV22050028,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,97
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8650,8650,,2565-06-13,INV22060461,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,98
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8650,8650,,2565-06-23,INV22060914,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,99
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8650,8650,,2565-08-20,INV22080756,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,100
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8650,8650,,2565-10-01,INX00000683,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,101
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,9990,9990,,2565-11-15,INV22110536,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,102
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,4,8300,33200,,2565-12-22,INV22120804,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,103
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8300,8000,,2566-05-04,INV23050155,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,104
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-06-12,INV23060429,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,105
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-07-10,INV23070398,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,106
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-08-15,INV23080494,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,107
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-09-11,INV23090410,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,108
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-11-11,INV23110457,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,109
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,8000,8000,,2566-12-22,INV23120895,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,110
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-02-16,INV24020637,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,111
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-03-20,INV24030847,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,112
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-04-23,INV24040704,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,113
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-06-17,INV24060638,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,114
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-07-15,INV24070640,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,115
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7800,7800,,2567-08-19,INV24080732,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,116
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7300,7300,,2567-11-22,INV24110947,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,117
ทินเนอร์ อะคริลิค (ลูไซด์) 3602 S PETER 200 ลิตร (150 kg.) -- ถังเหล็ก,ไทยนคร,1,7300,7300,,2568-01-09,INV25010305,ราคายังไม่รวม VAT 7%,"** เมื่อ 23/6/65 ไทยนครแจ้ง 6,100+7%",งานสี,,118
