date,supplier,total,invoice,notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2564-01-25,ทาเลนท์ อินเตอร์เทรด,695.5,IV2107490,โอน กสิกร 29/4/64,,,,
2564-01-11,ออโต้ สมาร์ท เทค,7597,202101073,กสิกร 25/2/64 #29776154,,,,
2564-01-23,ออโต้ สมาร์ท เทค,12358.18,202101191,,,,,
2564-01-11,ช.ทรัพย์สินไทย,6509.88,IV6401131,,,98610.13,,
2564-01-22,ช.ทรัพย์สินไทย,50249.34,IV6401318,กสิกร 25/3/64 # 29776189,,,,
2564-01-22,ช.ทรัพย์สินไทย,24353.2,IV6401319,,,,,
2564-01-27,ช.ทรัพย์สินไทย,17497.71,IV6401383,,,,,
2564-01-12,ไทยนคร,20009,IV6401/0434,กสิกร 13/3/64 #29776190 ,,,,
2564-01-06,บุญยาง,9800,,"บิล 19,21,26/12/63",,,,
2564-01-11,ร้านจิตต์ อะไหล่ ,18587,,Due 21/63 - 9/1/2564,,,,
,โสภา เดือน 1/2564,7400,,โอน 10/2/64,,,,
,ศรีสยาม (11 - 17/1/2564),43266.41,,กสิกร 17/2/64 #29776181,,,,
,ศรีสยาม (11 - 17/1/2564),18745.95,,กสิกร 17/3/64 #29776182,,,,
,ศรีสยาม (18 - 24/1/2564),54337.96,,กสิกร 24/2/64 #29776183,,,,
,ศรีสยาม (18 - 24/1/2564),1171,,กสิกร 1/3/64 #29776184,,,,
,ศรีสยาม (25 - 31/1/2564),50033.1,,กสิกร 1/3/64 #29776184,,,,
,ศรีสยาม (25 - 31/1/2564),26229.24,,กสิกร 31/3/64 #29776185,,,,
,ร้านจิตต์ อะไหล่ Due 21/63 - 9/1/2564,18587,,โอน 11/1/64,,,,
,ร้านจิตต์ อะไหล่ Due 11 - 16/1/2564,30560,,โอน 18/1/64,,,,
,ร้านจิตต์ อะไหล่ Due 18 - 23/1/2564,19727,,โอน 25/1/64,,,,
,ร้านจิตต์ อะไหล่ Due 25 - 30/1/2564,18909,,โอน 1/2/64,,,,
2564-01-20,กิ๊บน๊อต / ร้านต้นคิด   ,3050,,โอน BBL 054-716-1281,,,,
2564-01-25,กิ๊บน๊อต / ร้านต้นคิด   ,1200,,โอน BBL 054-716-1281,,,,
2564-01-27,กิ๊บน๊อต / ร้านต้นคิด   ,1200,,โอน BBL 054-716-1281,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-02-22,ออโต้ สมาร์ท เทค,16192.31,202102219,กสิกร 8/4/64 #29776187,,,,
2564-02-04,ออโต้ สมาร์ท เทค,20758,202102058,,,,,
2564-02-02,ทาเลนท์ อินเตอร์เทรด,7896.6,IV2107962,โอน กสิกร 26/5/64,,,,
2564-02-08,ทาเลนท์ อินเตอร์เทรด,5562.93,IV2108489,โอน กสิกร 26/5/64,,,,
2564-02-11,ทาเลนท์ อินเตอร์เทรด,410.88,IV2108684,โอน กสิกร 26/5/64,,,,
2564-02-23,ทาเลนท์ อินเตอร์เทรด,25136.44,IV2109422,โอน กสิกร 26/5/64,,,,
2564-02-26,ทาเลนท์ อินเตอร์เทรด,8474.4,IV6402402,,,,,
2564-02-15,ช.ทรัพย์สินไทย,14233.14,IV6402216,,,277958.18,,
2564-02-23,ช.ทรัพย์สินไทย,98341.56,IV6402347,,,,,
2564-02-23,ช.ทรัพย์สินไทย,158873.6,IV6402348,,,,,
2564-02-24,ช.ทรัพย์สินไทย,6509.88,IV6402373,,,,,
,ศรีสยาม (1 - 7/2/2564),72633.69,,กสิกร 7/3/64 #29776186,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 6/2/2564,22261,,โอน 8/2/64,,,,
,ร้านจิตต์ อะไหล่ Due 8 - 13/2/2564,12978,,โอน 15/2/64,,,,
,ร้านจิตต์ อะไหล่ Due 15 - 20/2/2564,25842,,โอน 22/2/64,,,,
,ร้านจิตต์ อะไหล่ Due 22 - 27/2/2564,22750,,โอน 1/3/64,,,,
,ศรีสยาม (8 - 14/2/2564),24421.38,,กสิกร 19/3/64 #29776194,,,,
,ศรีสยาม (8 - 14/2/2564),3480,,กสิกร 14/4/64 #29776195,,,,
,ศรีสยาม (15 - 21/2/2564),39053.6,,กสิกร 19/3/64 #29776194,,,,
,ศรีสยาม (15 - 21/2/2564),19550,,กสิกร 20/4/64 #29776196,,,,
,ศรีสยาม (22 - 28/2/2564),65826.54,,กสิกร 28/3/64 #29776197,,,,
,ศรีสยาม (22 - 28/2/2564),14189,,กสิกร 28/4/64 #29776198,,,,
,ศรีสยาม (1 - 7/3/2564),63653.37,,กสิกร 7/4/64 #29776199,,,,
,ศรีสยาม (1 - 7/3/2564),7490,,กสิกร 7/5/64 #29776200,,,,
,ศรีสยาม (8 - 14/3/2564),53247.7,,กสิกร 14/4/64 #29776195,,,,
,ศรีสยาม (8 - 14/3/2564),13210,,กสิกร 14/5/64 #29776201,,,,
2564-02-24,กิ๊บน๊อต / ร้านต้นคิด   ,2730,,,,,,
2564-02-06,กิ๊บน๊อต / ร้านต้นคิด   ,450,,โอน BBL 054-716-1281,,,,
2564-02-24,กิ๊บน๊อต / ร้านต้นคิด   ,2730,,โอน BBL 054-716-1281,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-03-08,ห้างหุ้นส่วนจำกัด พี.บี.เพ้นต์,51360,64/143,กสิกร 8/3/64 #29776191,,,,
2564-03-06,ออโต้ สมาร์ท เทค,9915.32,202103064,กสิกร 20/4/64 #29776192,,,,
2564-03-19,ออโต้ สมาร์ท เทค,9523,202103181,กสิกร 3/5/64 #29776193,,,,
2564-03-26,ออโต้ สมาร์ท เทค,16205.79,202103247,กสิกร 10/5/64 #29776169,,,,
2564-03-02,ไทยนครพัฒนา,22202.5,IV6403/0098,กสิกร 1/5/64 #29776177,,,,
2564-03-24,ช.ทรัพย์สินไทย,164373.4,IV6403351,,,293434.66,,
2564-03-24,ช.ทรัพย์สินไทย,67891.5,IV6403349,,,,,
2564-03-24,ช.ทรัพย์สินไทย,50470.83,IV6403350,,,,,
2564-03-29,ช.ทรัพย์สินไทย,10698.93,IV6403386,,,,,
2564-03-24,ซี.เอส. รีฟินิช,12078.16,IV6403067,,,,,
2564-03-11,ทาเลนท์อินเตอร์เทรด,2471.7,IV6400821,,,,,
2564-03-19,ทาเลนท์อินเตอร์เทรด,13738.8,IV6401389,,,,,
2564-03-29,ทาเลนท์อินเตอร์เทรด,10700,IV6402058,,,,,
2564-03-20,กิ๊บน๊อต / ร้านต้นคิด   ,1200,,โอน 15/7/64,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 6/3/2564,14565,,โอน 10/3/64,,,,
,ร้านจิตต์ อะไหล่ Due 8 - 13/3/2564,20092,,โอน 15/3/64,,,,
,ศรีสยาม Due 15 - 21/3/2564,47140,,กสิกร 21/4/64 # 29776171,,,,
,ศรีสยาม Due 15 - 21/3/2564,18624,,กสิกร 21/5/64 # 29776172,,,,
,ศรีสยาม Due 22 - 28/3/2564,51491,,กสิกร 28/4/64 # 29776173,,,,
,ศรีสยาม Due 22 - 28/3/2564,8396,,กสิกร 28/5/64 # 29776174,,,,
,ศรีสยาม Due 29/3 - 4/4/2564,70580,,กสิกร 4/5/64 # 29776175,,,,
,ศรีสยาม Due 29/3 - 4/4/2564,7034,,กสิกร 4/6/64 # 29776176,,,,
2564-03-10,กิ๊บน๊อต / ร้านต้นคิด   ,2400,,โอน BBL 054-716-1281,,,,
2564-03-11,ทาเลนท์อินเตอร์เทรด,2471.7,IV6400821,โอน 27/6/64,,,,
2564-03-19,ทาเลนท์อินเตอร์เทรด,13738.8,IV6401389,โอน 27/6/64,,,,
2564-03-29,ทาเลนท์อินเตอร์เทรด,10700,IV6402058,โอน 27/6/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-04-05,ห้างหุ้นส่วนจำกัด พี.บี.เพ้นต์,82176,64/210,กสิกร 30/6/64 #29776170,,,,
2564-04-01,ไทยนครพัฒนา (1982),20009,IV6404/0086,โอน กสิกร 21/5/64,,,,
2564-04-26,ช.ทรัพย์สินไทย,23853.51,IV6404284,,,28347.51,,
2564-04-26,ช.ทรัพย์สินไทย,4494,IV6404285,,,,,
,ร้านจิตต์ อะไหล่ Due 29/3 - 3/4/2564,16246,,โอน 5/4/2564,,,,
,ร้านจิตต์ อะไหล่ Due 5 - 17/4/2564,10842,,โอน 19/4/2564,,,,
,ร้านจิตต์ อะไหล่ Due 19 - 24/4/2564,24898,,โอน 26/4/2564,,,,
,ร้านจิตต์ อะไหล่ Due 26/4 - 1/5/2564,30325,,โอน 3/5/64,,,,
2564-04-22,ฟิลเตอร์ใยกรองห้องพ่นสี (ปูพื้น) / พีซี แมชชีนเนอรี่ แอนด์ ทูลส์    (930*10ม้วน)+VAT 7%  ปูพื้น  -- ขนาด 0.75 m *20 m * (T) 70 mm,9951,,โอน 22/4/2564,,,,
2564-04-02,ทาเลนท์อินเตอร์เทรด,3017.4,IV6402375,โอน 9/8/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-05-06,ออโต้ สมาร์ท เทค,8560,202105055,กสิกร 20/6/64 #29776203,,,,
2564-05-03,ทาเลนท์อินเตอร์เทรด,18081.93,IV6403799,โอน 23/8/64,,,,
2564-05-04,ทาเลนท์อินเตอร์เทรด,1043.25,IV6403907,โอน 23/8/64,,,,
2564-05-24,ทาเลนท์อินเตอร์เทรด,9416,IV6405125,โอน 23/8/64,,,,
2564-05-24,ออโต้ สมาร์ท เทค,12718.72,202105215,,,,,
2564-05-21,ช.ทรัพย์สินไทย,9360.36,IV6405324,,,284449.87,,
2564-05-21,ช.ทรัพย์สินไทย,145883.8,IV6405334,,,,,
2564-05-21,ช.ทรัพย์สินไทย,44336.52,IV6405333,,,,,
2564-05-21,ช.ทรัพย์สินไทย,57279.24,IV6405332,,,,,
2564-05-24,ช.ทรัพย์สินไทย,1637.1,IV6405340,,,,,
2564-05-24,ช.ทรัพย์สินไทย,7447.2,IV6405341,,,,,
2564-05-28,ช.ทรัพย์สินไทย,16050,IV6405437,,,,,
2564-05-31,ช.ทรัพย์สินไทย,2455.65,IV6405455,,,,,
,ร้านจิตต์ อะไหล่ Due 3 - 8/5/2564,22049,,โอน 10/5/64,,,,
,ร้านจิตต์ อะไหล่ Due 10 - 15/5/2564,25341,,โอน 17/5/64,,,,
,ร้านจิตต์ อะไหล่ Due 17 - 22/5/2564,39670,,โอน 24/5/64,,,,
,ร้านจิตต์ อะไหล่ Due 24 - 29/5/2564,15375,,โอน 31/5/64,,,,
,ศรีสยาม Due 10/5/64 - 16/5/64,48999,,เช็ค KB 16/6/64 #29776215,,,,
,ศรีสยาม Due 10/5/64 - 16/5/64,13517,,เช็ค KB 16/7/64 #29776216,,,,
,ศรีสยาม Due 17/5/64 - 23/5/64,20604,,เช็ค KB 23/6/64 #29776217,,,,
,ศรีสยาม Due 17/5/64 - 23/5/64,16096,,เช็ค KB 23/7/64 #29776218,,,,
,ศรีสยาม Due 24/5/64 - 30/5/64,26133,,เช็ค KB 30/6/64 #29776219,,,,
,ศรีสยาม Due 24/5/64 - 30/5/64,31453,,เช็ค KB 30/7/64 #29776220,,,,
,ศรีสยาม Due 31/5/64 - 6/6/64,26014,,เช็ค KB 6/7/64 #29776221,,,,
,ศรีสยาม Due 31/5/64 - 6/6/64,17970,,เช็ค KB 6/8/64 #29776222,,,,
2564-05-05,กิ๊บน๊อต / ร้านต้นคิด   ,2050,,โอน 15/7/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-06-05,ไทยนครพัฒนา (1982),20881.05,IV6406/0342,โอน 14/7/64,,,,
2564-06-23,ออโต้ สมาร์ท เทค,9523,202106204,,,,,
2564-06-28,ออโต้ สมาร์ท เทค,2710.63,202106252,,,,,
2564-06-18,ช.ทรัพย์สินไทย,164919.1,IV6406287,กสิกร 25/8/64 #29776246,,268719.8,,
2564-06-18,ช.ทรัพย์สินไทย,78657.84,IV6406286,กสิกร 25/8/64 #29776246,,,,
2564-06-21,ช.ทรัพย์สินไทย,12840,IV6406292,กสิกร 25/8/64 #29776246,,,,
2564-06-22,ช.ทรัพย์สินไทย,2942.5,IV6406314,กสิกร 25/8/64 #29776246,,,,
2564-06-22,ช.ทรัพย์สินไทย,9360.36,IV6406313,กสิกร 25/8/64 #29776246,,,,
2564-06-05,ทาเลนท์ อินเตอร์เทรด,10734.24,IV6405945,โอน 23/9/64,,,,
2564-06-17,ทาเลนท์ อินเตอร์เทรด,13285.12,IV6406631,โอน 23/9/64,,,,
2564-06-19,กิ๊บน๊อต / ร้านต้นคิด   ,1750,,โอน 15/7/64,,,,
,ร้านจิตต์ อะไหล่ Due 31/5 - 5/6/2564,24413,,โอน 7/6/64,,,,
,ร้านจิตต์ อะไหล่ Due 7 - 12/6/2564,16248,,โอน 14/6/64,,,,
,ร้านจิตต์ อะไหล่ Due 14 - 19/6/2564,11427,,โอน 21/6/64,,,,
,ร้านจิตต์ อะไหล่ Due 21 - 26/6/2564,28924,,โอน 28/6/64,,,,
,ร้านจิตต์ อะไหล่ Due 28/6 - 3/7/2564,24359,,โอน 5/7/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-07-04,ทาเลนท์ อินเตอร์เทรด,17847.6,IV6407743,โอน 8/10/64,,,,
2564-07-08,ทาเลนท์ อินเตอร์เทรด,10700,IV6407883,โอน 8/10/64,,,,
2564-07-07,ไทยนคร,20009,IV6407/0408,โอน 18/8/64,,,,
2564-07-10,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท สีดำ),6500,192,โอน 18/8/64,,,,
2564-07-12,ช.ทรัพย์สินไทย,40628.97,IV6407157,กสิกร 25/9/64 #29776247,,208409.24999999997,,
2564-07-12,ช.ทรัพย์สินไทย,5842.2,IV6407158,กสิกร 25/9/64 #29776247,,,,
2564-07-26,ช.ทรัพย์สินไทย,93757.68,IV6407308,กสิกร 25/9/64 #29776247,,,,
2564-07-26,ช.ทรัพย์สินไทย,68180.4,IV6407309,กสิกร 25/9/64 #29776247,,,,
2564-07-14,ห้างหุ้นส่วนจำกัด พี.บี.เพ้นต์,77724.8,64/436,KB 30/9/64 #29776235 (ยกเลิกเช็ค/เปลี่ยนเป็นโอนจ่าย 1/10/64),,,,
,ร้านจิตต์ อะไหล่ Due 5 - 10/7/2564,21404,,โอน 12/7/64,,,,
,ร้านจิตต์ อะไหล่ Due 12 - 17/7/2564,9119,,โอน 19/7/64,,,,
,ร้านจิตต์ อะไหล่ Due 19 - 24/7/2564,30375,,โอน 26/7/64,,,,
,ร้านจิตต์ อะไหล่ Due 26 - 31/7/2564,10394,,โอน 2/8/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-08-16,ทาเลนท์อินเตอร์เทรด,10935.4,IV6410019,โอน 16/11/64,,,,
2564-08-17,ทาเลนท์อินเตอร์เทรด,1487.3,IV6410086,โอน 16/11/64,,,,
2564-08-24,ทาเลนท์อินเตอร์เทรด,5350,IV6410479,โอน 16/11/64,,,,
2564-08-24,ทาเลนท์อินเตอร์เทรด,7318.8,IV6410433,โอน 16/11/64,,,,
2564-08-19,ทาเลนท์อินเตอร์เทรด,3445.4,IV6410260,โอน 16/11/64,,,,
2564-08-27,ทาเลนท์อินเตอร์เทรด,4108.8,IV6410644,โอน 16/11/64,,,,
2564-08-14,ไทยนครพัฒนา,17976,IV6408/0573,โอน 27/10/64,,,,
2564-08-26,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท สีดำ),6500,195,โอน 26/8/64,,,,
2564-08-31,ออโต้ สมาร์ทเทค,10539.5,202108203,KB 15/10/64 #29776248,,,,
2564-08-09,ออโต้ สมาร์ทเทค,7597,202108070,KB 23/9/64 #29776244,,,,
2564-08-24,ช.ทรัพย์สินไทย,38789.64,IV6408251,KB 25/10/64 #29776261,,103429.41,,
2564-08-24,ช.ทรัพย์สินไทย,8410.2,IV6408252,KB 25/10/64 #29776261,,,,
2564-08-26,ช.ทรัพย์สินไทย,27965.52,IV6408281,KB 25/10/64 #29776261,,,,
2564-08-26,ช.ทรัพย์สินไทย,8474.4,IV6408282,KB 25/10/64 #29776261,,,,
2564-08-26,ช.ทรัพย์สินไทย,19789.65,IV6408285,KB 25/10/64 #29776261,,,,
,ร้านจิตต์ อะไหล่ Due 2 - 7/8/2564,47061,,โอน 9/8/64,,,,
,ร้านจิตต์ อะไหล่ Due 9 - 14/8/2564,14588.4,,โอน 16/8/64,,,,
,ร้านจิตต์ อะไหล่ Due 16 - 21/8/2564,15385,,โอน 23/8/64,,,,
,ร้านจิตต์ อะไหล่ Due 23 - 28/8/2564,7029,,โอน 30/8/64,,,,
,ศรีสยาม Due 2-8/8/64,34241.33,,KB 9/9/64 #29776249,,,,
,ศรีสยาม Due 2-8/8/64,20212,,KB 9/10/64 #29776254,,,,
,ศรีสยาม Due 9-15/8/64,20283.54,,KB 16/9/64 #29776250,,,,
,ศรีสยาม Due 9-15/8/64,13285,,KB 16/10/64 #29776255,,,,
,ศรีสยาม Due 16-22/8/64,28855.77,,KB 23/9/64 #29776251,,,,
,ศรีสยาม Due 16-22/8/64,11866.01,,KB 23/10/64 #29776256,,,,
,ศรีสยาม Due 23-29/8/64,32191.94,,KB 30/9/64 #29776252,,,,
,ศรีสยาม Due 23-29/8/64,6482,,KB 30/10/64 #29776257,,,,
,ศรีสยาม Due 30/8-5/9/64,44174.35,,KB 6/10/64 #29776253,,,,
,ทาเลนท์อินเตอร์เทรด,1487.3,IV6410086,,,,,
,ร้านเจ๊แอน,18830,,โอน 2/9/64,,,,
2564-08-30,กิ๊บน๊อต / ร้านต้นคิด   ,1884,EMS,โอน 9/11/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-09-09,ช.ทรัพย์สินไทย,7447.2,IV6409115,KB 25/11/64 #29776262,,191485.06,,
2564-09-22,ช.ทรัพย์สินไทย,116159.2,IV6409286,KB 25/11/64 #29776262,,,,
2564-09-22,ช.ทรัพย์สินไทย,56085.12,IV6409285,KB 25/11/64 #29776262,,,,
2564-09-23,ช.ทรัพย์สินไทย,11793.54,IV6409299,KB 25/11/64 #29776262,,,,
,ห้างหุ้นส่วนจำกัด พี.บี.เพ้นต์,51360,64/569,KB 30/11/64 #29776258,,,,
2564-09-23,ออโต้ สมาร์ทเทค,11071.93,202109165,KB 7/11/64 #29776259,,,,
2564-09-28,ซี.เอส. รีฟินิช,4711.21,IV6409065,KB 25/11/64 #29776263,,,,
2564-09-15,ทาเลนท์อินเตอร์เทรด,8647.74,IV6411764,โอน 12/12/64,,,,
,ร้านจิตต์ อะไหล่ Due 30/8 - 4/9/2564,12564,,โอน 6/9/64,,,,
,ร้านจิตต์ อะไหล่ Due 6 - 11/9/2564,7007,,โอน 13/9/64,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 18/9/2564,7319,,โอน 20/9/64,,,,
,ร้านจิตต์ อะไหล่ Due 20 - 25/9/2564,14246,,โอน 27/9/64,,,,
,ร้านจิตต์ อะไหล่ Due 27/9 - 2/10/2564,26424,,โอน 4/10/64,,,,
,ร้านเจ๊แอน,14600,,โอน 4/10/64,,,,
,ศรีสยาม Due 6 - 12/9/2564,56117,,โอน 8/10/64,,,,
,ศรีสยาม Due 13 - 19/9/2564,34002,,โอน 18/10/64,,,,
,ศรีสยาม Due 20 - 26/9/2564,31991,,โอน 26/10/64,,,,
2564-09-16,กิ๊บน๊อต / ร้านต้นคิด   ,1250,EMS,โอน 9/11/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-10-11,ออโต้ สมาร์ทเทค,10108.93,202110080,KB 25/11/64 #29776260,,,,
,ออโต้ สมาร์ทเทค,4437.93,202110201,KB 12/12/64 #29776264,,8271.1,,
2564-10-08,ทาเลนท์อินเตอร์เทรด,6398.6,IV6413092,โอน 13/1/65,,,,
2564-10-16,ทาเลนท์อินเตอร์เทรด,1872.5,IV6413516,โอน 13/1/65,,,,
2564-10-25,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,200,โอน 25/10/64,,,,
2564-10-19,ช.ทรัพย์สินไทย,3274.2,IV6410254,โอน 23/12/64,,194087.3,,
2564-10-26,ช.ทรัพย์สินไทย,49787.1,IV6410364,โอน 23/12/64,,,,
2564-10-26,ช.ทรัพย์สินไทย,141026,IV6410365,โอน 23/12/64,,,,
,ร้านจิตต์ อะไหล่ Due 4 - 9/10/2564,16000,,โอน 11/10/64,,,,
,ร้านจิตต์ อะไหล่ Due 11 - 16/10/2564,22038,,โอน 18/10/64,,,,
,ร้านจิตต์ อะไหล่ Due 18 - 23/10/2564,21429,,โอน 25/10/64,,,,
,ร้านจิตต์ อะไหล่ Due 25 - 30/10/2564,28765,,โอน 1/11/64,,,,
,ศรีสยาม Due 13 - 19/9/2564,34002,,โอน 18/10/64,,,,
,ศรีสยาม Due 27/9 - 3/10/2564,39584,,โอน 3/11/64,,,,
,ศรีสยาม Due 4 - 10/10/2564,60778,,โอน 10/11/64,,,,
,ศรีสยาม Due 11 - 17/10/2564,24047.85,,โอน 16/11/64,,,,
,ศรีสยาม Due 18 - 24/10/2564,60348.84,,โอน 24/11/64,,,,
,ศรีสยาม Due 25/10 - 31/10/2564,54684.58,,โอน 1/12/64,,,,
,ร้านเจ๊แอน,13530,,โอน 2/11/64,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2564-11-01,ทาเลนท์อินเตอร์เทรด,4617.05,IV6414395,โอน 26/2/65,,,,
2564-11-09,ทาเลนท์อินเตอร์เทรด,6109.7,IV6415061,โอน 26/2/65,,,,
2564-11-10,ทาเลนท์อินเตอร์เทรด,1070,IV6415146,โอน 26/2/65,,,,
2564-11-29,ทาเลนท์อินเตอร์เทรด,8795.4,IV6416224,โอน 26/2/65,,,,
2564-11-05,ออโต้ สมาร์ทเทค,1926,202111060,โอน 20/12/64,,,,
2564-11-10,ออโต้ สมาร์ทเทค,5293.93,202111095,โอน 25/12/64,,,,
2564-11-25,ออโต้ สมาร์ทเทค,3852,202111223,โอน 11/1/65,,,,
2564-11-10,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,64/690,โอน 1/2/65,,,,
2564-11-11,ช.ทรัพย์สินไทย,18855.54,IV6411168,โอน 24/1/65,,,,
2564-11-15,ช.ทรัพย์สินไทย,5842.2,IV6411213,โอน 24/1/65,,406362.46,,
2564-11-23,ช.ทรัพย์สินไทย,63344,IV6411321,โอน 24/1/65,,,,
2564-11-23,ช.ทรัพย์สินไทย,43797.24,IV6411319,โอน 24/1/65,,,,
2564-11-23,ช.ทรัพย์สินไทย,40407.48,IV6411320,โอน 24/1/65,,,,
2564-11-26,ช.ทรัพย์สินไทย,222560,IV6411357,โอน 24/1/65,,,,
2564-11-29,ช.ทรัพย์สินไทย,11556,IV6411367,โอน 24/1/65,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 6/11/2564,36094,,โอน 8/11/64,,,,
,ร้านจิตต์ อะไหล่ Due 8 - 13/11/2564,10708,,โอน 15/11/64,,,,
,ร้านจิตต์ อะไหล่ Due 15 - 20/11/2564,19691,,โอน 22/11/64,,,,
,ร้านจิตต์ อะไหล่ Due 22 - 27/11/2564,39621,,โอน 29/11/64,,,,
,ศรีสยาม Due 1 - 7/11/2564,68921.13,,โอน 8/12/64,,,,
,ศรีสยาม Due 8 - 14/11/2564,57159.41,,โอน 14/12/64,,,,
,ศรีสยาม Due 15 - 21/11/2564,37961,,โอน 22/12/64,,,,
,ศรีสยาม Due 22 - 28/11/2564,57155.33,,โอน 28/12/64,,,,
,ร้านเจ๊แอน,4380,,โอน 1/12/64,,,,
,ร้านโสภา,7550,,โอน 25/1/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-12-07,ออโต้ สมาร์ทเทค,14659,202112058,โอน 21/1/65,,,,
2564-12-22,ช.ทรัพย์สินไทย,241691.6,IV6412301,โอน 23/2/65,,302302.82,,
2564-12-22,ช.ทรัพย์สินไทย,60611.22,IV6412302,โอน 23/2/65,,,,
2564-12-09,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,61632,64/756,โอน 6/3/65,,,,
2564-12-03,ทาเลนท์อินเตอร์เทรด,2214.9,IV6416686,โอน 23/3/65,ได้ใบเสร็จแล้ว 30/3/65,,,
2564-12-07,ทาเลนท์อินเตอร์เทรด,5339.3,IV6416831,โอน 23/3/65,ได้ใบเสร็จแล้ว 30/3/65,,,
,ร้านจิตต์ อะไหล่ Due 29 - 4/12/2564,31539,,โอน 6/12/64,,,,
,ร้านจิตต์ อะไหล่ Due 6 - 11/12/2564,36809,,โอน 13/12/64,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 18/12/2564,20734,,โอน 20/12/64,,,,
,ร้านจิตต์ อะไหล่ Due 20 - 25/12/2564,7084,,โอน 27/12/64,,,,
